Gen	t_n5	t_n6	t_n7	mu
1	5.7411808	4.7724766	4.4727014	0.0631281
1000	5.9548629	5.8217743	4.4383704	0.0511830
2000	5.9057890	4.5523841	4.4681090	0.0283912
3000	5.8521849	5.7187277	4.2682410	0.0434527
4000	5.7409898	4.5029461	4.3164569	0.0529434
5000	5.7784024	4.4311316	4.3791606	0.0164931
6000	5.9315299	4.8943925	4.3296779	0.1677412
7000	5.7312093	4.6731153	4.5000987	0.0806611
8000	5.7587000	5.5977944	4.3191112	0.0878872
9000	5.9523443	4.4872512	4.3259267	0.0983329
10000	5.8438216	5.4038906	4.3644356	0.1709726
11000	5.7551383	4.8874096	4.2575672	0.0541944
12000	5.7997243	5.1173759	4.4616136	0.0555414
13000	5.8588057	5.0761176	4.4408486	0.0234214
14000	5.8551708	4.3778972	4.2815409	0.0429349
15000	5.6927175	5.2527217	4.3866555	0.0091601
16000	5.9074162	4.9354823	4.3795062	0.0622419
17000	5.9006151	4.4569221	4.2494063	0.1716548
18000	5.8236846	5.5670335	4.3647224	0.2679381
19000	5.7932718	5.4101638	4.3010454	0.0724359
20000	5.7966674	5.4166796	4.1214176	0.1866731
21000	5.8684630	5.0105600	4.1506314	0.0862657
22000	5.8261789	5.1173146	4.2121461	0.0685846
23000	5.7922853	4.5422170	4.2974614	0.0390898
24000	5.8940984	5.7060620	4.1799878	0.1020420
25000	5.8556439	5.3703548	4.4959310	0.0706248
26000	5.8227644	4.3863415	4.1703475	0.0090792
27000	5.8326416	5.1984573	4.2498382	0.0185211
28000	5.6603259	4.8263235	4.4405092	0.0240641
29000	5.8427337	4.8843492	4.1147660	0.0764792
30000	5.8154559	5.1946348	4.3548256	0.0636157
31000	5.8209037	4.2962173	4.2543900	0.0429793
32000	5.8267463	4.6405622	4.4962909	0.0394546
33000	5.7870024	4.8218811	4.3875216	0.0833714
34000	5.7528349	5.3144982	4.1803223	0.0361905
35000	5.8054545	5.6467586	4.4918479	0.0456982
36000	5.8948313	4.5775847	4.5041998	0.0924199
37000	5.8149735	5.5040830	4.5009578	0.0368597
38000	5.9603471	5.2784307	4.4506888	0.0653900
39000	5.8841320	5.1586002	4.3254466	0.1365874
40000	5.8599502	4.6342280	4.2827695	0.0246336
41000	5.8126307	5.3303723	4.3995019	0.0505247
42000	5.7878820	5.2655297	4.2642948	0.0864663
43000	5.7700917	4.7635389	4.5226268	0.0422392
44000	5.7818690	5.5651496	4.4318866	0.0398380
45000	5.8884659	4.5171972	4.4845542	0.0569740
46000	5.7800302	4.1530204	4.1308595	0.0211048
47000	5.8900073	5.3301357	4.3414501	0.0933566
48000	5.8271794	4.4068787	4.1589619	0.0207454
49000	5.8428869	4.3828734	4.3711033	0.0145545
