Gen	t_n5	t_n6	t_n7	mu
1	5.9351499	4.9053292	4.4484408	0.0577712
1000	5.8474518	4.5106140	4.4098369	0.0211325
2000	5.8136485	4.6035328	4.1520107	0.0395659
3000	5.8621505	4.4757120	4.4699401	0.0526491
4000	5.7759529	4.7521117	4.3031376	0.0615390
5000	5.8654856	4.9702812	4.2480578	0.0619839
6000	5.8251668	5.1153281	4.1179583	0.0476195
7000	5.8606505	5.2258017	4.1262790	0.1406761
8000	5.9312172	5.5187327	4.2009708	0.1079111
9000	5.8602394	5.4493654	4.1726847	0.0730095
10000	5.7904227	5.5326551	4.1431190	0.0198114
11000	5.9082476	5.1614580	4.5122876	0.0568779
12000	5.7995052	5.4146216	4.3389654	0.0443140
13000	5.7248925	4.5189244	4.2032497	0.0319413
14000	5.8755878	4.9855472	4.4463479	0.1120965
15000	5.7760461	5.5809032	4.1389054	0.0124723
16000	5.9394078	4.2148594	4.2069627	0.0500568
17000	5.7430685	5.3520017	4.2247967	0.0461356
18000	5.7915956	5.0304882	4.1487613	0.0669571
19000	5.9121211	5.3226972	4.3961246	0.0381553
20000	5.6819802	4.8532876	4.2097817	0.1499062
21000	5.8823900	4.5483169	4.1368856	0.1052498
22000	5.9013204	4.1341040	4.1175137	0.0323828
23000	5.8428479	5.1861029	4.2035702	0.0739514
24000	5.8984764	4.5414434	4.4942100	0.0539819
25000	5.8431096	5.6785413	4.2173013	0.0519545
26000	5.7925706	4.8607778	4.5069768	0.0299840
27000	5.9562698	4.5532109	4.4574440	0.0428605
28000	5.7036255	4.4404828	4.3093823	0.1688174
29000	5.7191786	4.8156109	4.1555537	0.0533118
30000	5.8070986	5.0910559	4.4154334	0.0494341
31000	5.7170931	5.3542761	4.4567638	0.0321844
32000	5.7920650	5.5220587	4.1447464	0.0455793
33000	5.7589756	4.8734928	4.4402098	0.0281307
34000	5.7125840	4.9794607	4.1676918	0.0387354
35000	5.8884266	4.6790789	4.2644058	0.0789544
36000	5.8680542	4.4449955	4.1159024	0.0910347
37000	5.8849675	4.6268117	4.3317187	0.0578329
38000	5.7405466	5.0990523	4.4198922	0.0888383
39000	5.9240365	5.2042660	4.4373186	0.0621938
40000	5.9338619	4.7324690	4.2060771	0.0303051
41000	5.9449036	5.3491145	4.1584638	0.0098367
42000	5.7883633	5.0651828	4.1730532	0.1279403
43000	5.8074754	4.2361210	4.2041779	0.0207559
44000	5.7561533	5.4306714	4.1132834	0.0559036
45000	5.7538078	5.5178446	4.3554158	0.0173167
46000	5.9509785	5.7758125	4.4411117	0.0373192
47000	5.8466782	5.6074942	4.1403189	0.0306751
48000	5.8445568	4.4975316	4.4469642	0.0677559
49000	5.8096441	5.1316101	4.3820925	0.0572312
50000	5.9328511	4.4168143	4.4157923	0.0222625
51000	5.8976145	5.7815913	4.3304797	0.1161811
52000	5.7351733	4.5145877	4.4018032	0.0771743
53000	5.8706487	4.7011297	4.4370515	0.0347800
54000	5.9485753	5.4919903	4.1132384	0.0290670
55000	5.8013067	5.6338563	4.2953717	0.0325446
56000	5.7686111	5.7223946	4.5167756	0.1793223
57000	5.8656331	4.5294735	4.4391825	0.0461479
58000	5.9008818	4.5526072	4.4543379	0.0134346
59000	5.7786912	4.9726116	4.2598003	0.0458505
60000	5.7210266	5.6029780	4.3187250	0.0810357
61000	5.8125768	5.3650466	4.1239935	0.0355718
62000	5.9119297	5.4552012	4.4512722	0.0924978
63000	5.8079047	5.1279636	4.3787801	0.0599875
64000	5.8961902	5.8740594	4.1865172	0.0358550
65000	5.8124767	5.7316265	4.1243696	0.0228244
66000	5.8605894	4.3927035	4.3476639	0.0136700
67000	5.8601568	5.6122911	4.1758854	0.1228395
68000	5.7480265	5.1683863	4.3021183	0.0093290
69000	5.8410224	5.2994962	4.3154289	0.0912585
70000	5.7828018	5.4611684	4.4217499	0.0690810
71000	5.8600306	4.9999691	4.1958412	0.0510426
72000	5.8082591	5.0979401	4.4549380	0.0373628
73000	5.7105132	4.6601749	4.1041810	0.0896809
74000	5.8163751	4.6889546	4.2659340	0.0203948
75000	5.8473903	4.5719749	4.2656791	0.0882113
76000	5.8680579	4.6259799	4.2850759	0.0609691
77000	5.8971313	4.2829909	4.1370870	0.0181126
78000	5.7878289	5.1608093	4.3850040	0.1128816
79000	5.7645689	5.7594267	4.4848190	0.0236329
80000	5.9177654	5.3900330	4.3252865	0.1020079
81000	5.8247194	4.9907584	4.2982997	0.1065683
82000	5.8043672	4.7256580	4.2022164	0.0299737
83000	5.7408356	5.0226471	4.3672578	0.0127402
84000	5.8541111	5.7077027	4.4937995	0.0473825
85000	5.9347847	4.5341774	4.1415531	0.0459185
86000	5.7918070	5.4488699	4.3347060	0.0471791
87000	5.8512894	4.9601763	4.2310213	0.0324340
88000	5.8162345	5.4797131	4.2778707	0.0063973
89000	5.8041154	4.5841335	4.3695832	0.0213594
90000	5.8177164	5.6536110	4.4608839	0.0338292
91000	5.8630759	5.3440766	4.4124140	0.0868609
92000	5.8013825	4.7948378	4.1658905	0.0765469
93000	5.9309124	4.5041052	4.3534381	0.0409448
94000	5.9125939	5.0533152	4.4292114	0.0579022
95000	5.9229867	5.3955668	4.4000589	0.0395575
96000	5.8103211	4.3566098	4.2837322	0.0458340
97000	5.8808227	5.3074897	4.2182350	0.0141854
98000	5.8244902	5.5827024	4.4638271	0.0138779
99000	5.9136994	5.2287752	4.3323528	0.0361076
100000	5.8624001	5.7920171	4.1558626	0.0254097
101000	5.8831595	4.7737950	4.3017770	0.0789356
102000	5.8484231	5.7398520	4.3853458	0.0591169
103000	5.7409370	5.4183255	4.1359471	0.0235843
104000	5.8441001	5.4831849	4.1982596	0.0255805
105000	5.8429363	4.4328171	4.1388224	0.0179006
106000	5.8451117	4.5781069	4.3570698	0.1115758
107000	5.8878973	5.4381023	4.2281549	0.1143020
108000	5.8014428	4.9288416	4.4053527	0.0269174
109000	5.8980118	5.0671539	4.1685281	0.0679652
110000	5.8359262	5.2809287	4.1515361	0.0503323
111000	5.8806766	5.3025755	4.2210057	0.0723291
112000	5.8011531	5.0799921	4.2183383	0.0606834
113000	5.8847641	4.8875758	4.4744958	0.0385798
114000	5.8806500	5.6291126	4.2408887	0.0441454
115000	5.9182180	4.6880278	4.4450230	0.0086710
116000	5.9239882	5.4700154	4.4119792	0.0590334
117000	5.9291676	4.6746575	4.4706955	0.0783819
118000	5.8905694	5.0582461	4.3297481	0.0500581
119000	5.8455460	5.6203946	4.3087620	0.0219463
120000	5.8102147	4.3541883	4.3527901	0.1043660
121000	5.8189438	4.9448581	4.2704616	0.0734374
