Gen	t_n5	t_n6	t_n7	mu	sigma2	lnL
1	5.6321755	5.1285787	4.1337254	0.0208583	1.2885121	-5.542
1000	5.8226286	5.4874578	4.2226195	0.0224975	1.0335041	-3.578
2000	5.8486565	5.3324479	4.2685564	0.0167358	0.9647653	-9.361
3000	5.8090837	5.4163864	4.2130166	0.0184008	0.7271296	-1.691
4000	5.7835437	5.2787630	4.1676387	0.0176847	1.4808630	-3.420
5000	5.8850947	5.6720220	4.2265377	0.0098053	1.1619955	-1.927
6000	5.8858930	5.8671457	4.3096481	0.0122775	1.1168849	-4.323
7000	5.8186014	5.6937679	4.4077638	0.0120739	0.9836848	-5.364
8000	5.8302484	5.7412621	4.2809102	0.0216945	0.8978307	-3.379
9000	5.7854410	5.7649068	4.1737606	0.0203088	0.9878288	-1.987
10000	5.7921818	5.6012671	4.2161701	0.0598832	1.3683815	-3.227
11000	5.7585670	5.2619036	4.3513240	0.0356252	1.0786288	-3.375
12000	5.8697604	5.5326699	4.2818485	0.0188698	1.1667239	-0.687
13000	5.8069916	5.3453933	4.5015630	0.0131442	1.5964653	-2.129
14000	5.7844425	5.6624170	4.3582400	0.0106740	1.4019018	-2.137
15000	5.8384709	5.8184079	4.1927415	0.0112318	1.2735916	-4.306
16000	5.8972997	5.7042033	4.2258330	0.0155616	1.0844889	-3.578
17000	5.9291902	5.3308893	4.4597602	0.0135232	0.6163968	-10.137
18000	5.7936011	5.7904597	4.4261546	0.0106013	1.3318280	-2.280
19000	5.9083256	5.4791342	4.1353609	0.0244383	0.8276365	-3.067
20000	5.7462639	5.6890619	4.1577262	0.0122338	1.0891348	-2.663
21000	5.8840486	5.3142207	4.2952549	0.0193059	1.3909971	-7.160
22000	5.8351577	5.6948435	4.3272134	0.0226132	1.0291241	-5.206
23000	5.8622599	5.7824823	4.1232488	0.0266373	1.0120296	-5.076
24000	5.7690350	5.2080300	4.2334094	0.0042947	1.6133938	-1.460
25000	5.8295807	5.3666882	4.2720637	0.0137961	1.3012953	-2.803
26000	5.7866634	5.6701402	4.3919966	0.0175301	0.7768911	-8.004
27000	5.7951403	5.7551252	4.1857233	0.0219906	0.7654842	-2.923
28000	5.9205710	5.3618087	4.1541380	0.0185980	0.9931464	-1.969
29000	5.8691081	5.7769785	4.4070307	0.0299744	1.4517839	-3.758
30000	5.7796416	5.7681806	4.2056601	0.0293449	0.9840087	-7.365
31000	5.8235959	5.7388908	4.3578104	0.0198291	1.1419663	-5.895
32000	5.8230511	5.8227573	4.2506813	0.0277448	1.2610896	-3.716
33000	5.7722204	5.5448034	4.1719335	0.0099282	0.7467951	-2.021
34000	5.8107572	5.4653935	4.4072322	0.0738472	1.8467987	-1.446
35000	5.7370739	5.5921073	4.3123213	0.0234675	1.1859526	-5.767
36000	5.7795760	5.7522604	4.2110768	0.0348801	1.2796292	-2.063
37000	5.9026282	5.7854569	4.5134240	0.0150600	0.7073635	-8.033
38000	5.7655194	5.7606892	4.3277376	0.0121463	0.9772588	-4.562
39000	5.9122879	5.8766544	4.2830892	0.0321938	1.3344759	-4.110
40000	5.7710496	5.6329087	4.4479536	0.0210943	1.1116260	-7.085
41000	5.8300589	5.5507335	4.2665575	0.0382546	1.2844096	-1.856
42000	5.8127494	5.4270015	4.2121693	0.0165104	1.1571970	-4.102
43000	5.8311674	5.8081866	4.1880276	0.0684858	1.4262060	-1.885
44000	5.8878768	5.7181506	4.2647575	0.0115284	1.0936435	-4.206
45000	5.7870804	5.7217372	4.1616859	0.0142908	1.1663028	-6.402
46000	5.9100361	5.6273619	4.1504091	0.0151755	0.8766004	-0.752
47000	5.7931125	5.5831535	4.2336695	0.0333099	1.4403127	-1.525
48000	5.8641263	5.5228450	4.5108480	0.0235316	1.0559329	-3.358
49000	5.8499028	5.7359468	4.4467932	0.0308828	1.1183643	-5.051
50000	5.7324902	5.4149845	4.2616291	0.0194515	1.2667591	-4.502
51000	5.8878717	5.7592085	4.4217549	0.0538907	1.7815713	-2.754
52000	5.7828539	5.7621708	4.4400808	0.0209144	1.5051462	-4.414
53000	5.7767413	5.7194513	4.2730720	0.0085849	0.9645925	-5.491
54000	5.8867927	5.8748256	4.3397108	0.0121117	0.7668243	-1.445
55000	5.8413453	5.7338943	4.5165636	0.0364123	1.1375785	-3.855
56000	5.8049535	5.3182421	4.1195125	0.0388897	1.1294015	-7.501
57000	5.7536840	5.7154449	4.2121390	0.0329248	1.2904663	-1.325
58000	5.8287839	5.7972291	4.3637479	0.0168090	0.8348572	-6.172
