Gen	t_n5	t_n6	t_n7	mu	sigma2	lnL
1	5.7355915	5.2315587	4.3297001	0.0285143	1.6325463	-1.633
1000	5.8782050	5.6979825	4.1241721	0.0165188	1.1745587	-1.701
2000	5.7466585	5.3242346	4.3938980	0.0163160	1.2644826	-4.066
3000	5.9055707	5.6935631	4.1981789	0.0368493	1.1716101	-3.249
4000	5.8818669	5.8335554	4.1954147	0.0263848	1.3700650	-4.742
5000	5.8283738	5.5621935	4.2926025	0.0224064	1.2753063	-3.695
6000	5.9251476	5.7383630	4.1773637	0.0251531	1.7201204	-1.036
7000	5.8877502	5.8554973	4.3067852	0.0179121	0.9682805	-0.843
8000	5.9014054	5.2815597	4.3373320	0.0126211	0.9601838	-3.102
9000	5.9356122	5.4418806	4.2126805	0.0389671	1.3289951	-3.811
10000	5.8939572	5.7214233	4.2643570	0.0076623	0.9747853	-7.227
11000	5.8753120	5.8362979	4.3277827	0.0191544	0.7551820	-2.138
12000	5.7971831	4.9194297	4.4252679	0.0175692	1.2324890	-1.244
13000	5.9812435	5.7190263	4.1719823	0.0313010	1.3439817	-1.256
14000	5.7684287	5.7045233	4.3358699	0.0210228	1.5004648	-3.789
15000	5.7849442	5.4462775	4.2593525	0.0273443	0.7141837	-5.527
16000	5.9056723	5.7005698	4.1580958	0.0228081	1.1300714	-5.185
17000	5.7885341	5.7677444	4.4085567	0.0329613	0.9821178	-6.234
18000	5.7278103	5.6869455	4.3189691	0.0256626	1.2688458	-2.211
19000	5.8829825	5.5569076	4.2418487	0.0185031	1.3481480	-2.536
20000	5.8669712	5.7151753	4.1900434	0.0171914	0.9460861	-3.032
21000	5.7615558	5.3141478	4.2161834	0.0297465	1.0528971	-3.313
22000	5.8077324	5.7607370	4.5193516	0.0160383	0.8684731	-2.600
23000	5.8183619	5.8061199	4.4315102	0.0349616	1.4575903	-1.958
24000	5.8926623	5.8787686	4.2782067	0.0359092	1.0889262	-3.500
25000	5.8459157	5.6393631	4.1795815	0.0211948	1.3041614	-1.156
26000	5.8087177	5.8015005	4.3381452	0.0107814	0.9103698	-3.869
27000	5.9047444	5.6585509	4.2829076	0.0191207	1.3679215	-2.945
28000	5.8138465	5.7100045	4.1341906	0.0189651	1.3447753	-1.854
29000	5.8639688	5.8617581	4.4485188	0.0259572	1.2178380	-2.817
30000	5.9537553	5.6794422	4.3895596	0.0174952	0.8436702	-9.228
31000	5.8150533	5.7772613	4.3538765	0.0645766	1.0796076	-4.244
32000	5.8255871	5.3773703	4.3871977	0.0151788	0.9217230	-1.428
33000	5.8274871	5.3360397	4.2434528	0.0208316	1.2254144	-6.716
