Gen	t_n5	t_n6	t_n7	mu
1	5.8053536	5.3561835	4.3954634	0.0253659
1000	5.8563559	5.5025405	4.4579813	0.1360823
2000	5.8551547	5.8380459	4.4147822	0.0208310
3000	5.8129090	5.2460095	4.4259724	0.0384871
4000	5.8489425	5.7304486	4.1907586	0.2255919
5000	5.8404548	4.5760259	4.2418064	0.0437956
6000	5.9041040	5.0817845	4.4977737	0.0847033
7000	5.7686540	5.3079759	4.1972734	0.0066996
8000	5.8013238	4.9983785	4.4773833	0.0143990
9000	5.8671538	4.5649924	4.2761397	0.0553472
10000	5.7304988	5.0704122	4.5099644	0.0249040
11000	5.8808577	4.9650293	4.2770593	0.0092204
12000	5.8440175	5.6685736	4.1807576	0.1084041
13000	5.8299041	4.7338241	4.2830470	0.0784808
14000	5.7873962	5.4765508	4.5323314	0.0447000
15000	5.8325496	4.3787930	4.2227900	0.0894152
16000	5.7865591	5.4076493	4.4452141	0.1038934
17000	5.6842257	4.7999644	4.1936585	0.0491424
18000	5.8687217	5.5573437	4.3476211	0.0993148
19000	5.8068664	5.3568354	4.2720395	0.0502316
20000	5.7900183	4.5385560	4.4153027	0.0709322
21000	5.8116729	4.7658417	4.3294590	0.0483670
22000	5.7932153	4.8509121	4.5323909	0.0355064
23000	5.7326254	4.8052534	4.4039909	0.1377898
24000	5.8548283	4.3877974	4.2280634	0.0906362
25000	5.8704855	4.2375944	4.1614840	0.0452769
26000	5.8573140	4.6995999	4.3768683	0.0683692
27000	5.8031062	5.2138967	4.3646786	0.0458055
28000	5.7418243	5.3606229	4.3894969	0.1456945
29000	5.7711773	4.8245066	4.1981407	0.0490222
30000	5.7818173	4.7342071	4.3590571	0.0454711
31000	5.7303540	5.1206663	4.5027230	0.0353257
32000	5.7781500	5.7705708	4.4562981	0.0395656
33000	5.8444965	5.7696020	4.4575578	0.1302567
34000	5.8748229	5.2606708	4.3615167	0.0099491
35000	5.8353892	4.7615831	4.4750412	0.1433771
36000	5.8022296	5.0718633	4.2844079	0.0477207
37000	5.8204053	5.1044061	4.1264706	0.0423858
38000	5.8656759	5.4249902	4.1873051	0.0155429
39000	5.7651830	4.5899917	4.4367905	0.0553572
40000	5.7993332	5.3227042	4.1375041	0.0342800
41000	5.8955319	5.1017975	4.2367804	0.1335747
42000	5.8398530	5.3254623	4.4290778	0.0653157
43000	5.8776708	5.0429538	4.2386664	0.0731591
44000	5.7972623	4.7485874	4.2695414	0.0376743
45000	5.8375672	4.7566178	4.4790390	0.0321283
46000	5.8440140	4.8444848	4.4784143	0.0946176
47000	5.8805529	4.7760435	4.2884948	0.0815824
48000	5.7964738	4.9319651	4.3588352	0.0528904
49000	5.8278818	5.1578290	4.2868976	0.0998064
50000	5.9040021	5.5490530	4.2577014	0.0305603
51000	5.8278212	4.5166541	4.4808680	0.0316745
52000	5.8111856	4.6208322	4.2053801	0.0381289
53000	5.7514595	4.9586287	4.4751585	0.0577863
54000	5.7635728	5.0050601	4.2482038	0.0695630
55000	5.8616962	5.3227388	4.4319203	0.0113865
56000	5.7704103	5.6533996	4.4648854	0.1480467
57000	5.8187186	5.2968839	4.4701848	0.0425045
58000	5.8397693	5.0475519	4.3361474	0.1318235
59000	5.8291367	4.9331945	4.2726554	0.0022324
60000	5.8564873	4.9397297	4.2578118	0.2471462
61000	5.7669480	4.5103426	4.1827283	0.0633913
62000	5.8403901	5.2038019	4.3455697	0.0538585
63000	5.8553785	4.9788991	4.2583692	0.0419388
64000	5.8744898	4.6404012	4.5152670	0.0747440
65000	5.7490567	4.9744482	4.2387189	0.0728349
66000	5.9225607	4.6635207	4.3345709	0.0365901
67000	5.8320740	5.1466327	4.2382247	0.0274713
68000	5.8348595	5.6287040	4.3082527	0.0816407
69000	5.7915968	5.1683345	4.3504374	0.0396850
70000	5.8743224	5.5128068	4.4137937	0.1286593
71000	5.8647376	5.3750004	4.3448076	0.1332076
72000	5.8499322	5.2275180	4.5030725	0.0409520
73000	5.8708495	4.5695860	4.4557398	0.0311175
74000	5.8069256	4.7102434	4.3131312	0.1559593
75000	5.8715146	5.0873268	4.3029565	0.0733621
76000	5.8317721	4.3839140	4.3375444	0.0613677
77000	5.8637624	5.1759563	4.4720873	0.0664088
78000	5.7509533	5.5209650	4.5348727	0.1087887
79000	5.8279572	5.2062019	4.5200810	0.1052988
80000	5.8186210	4.5338314	4.1855305	0.0918797
81000	5.8600663	5.3383699	4.5181070	0.0633688
82000	5.8098469	5.6781434	4.2863662	0.0366548
83000	5.8498811	5.0451561	4.1382014	0.0262489
84000	5.9993498	5.5957479	4.4117655	0.0970225
85000	5.8401902	4.5620265	4.2079691	0.0683861
86000	5.9191441	5.1277293	4.4131788	0.0407494
87000	5.8477414	5.7506362	4.5286857	0.0855729
88000	5.7793778	4.7462656	4.2982370	0.0239634
89000	5.8428161	5.4537467	4.3495711	0.0978615
90000	5.7966047	5.2501150	4.2690078	0.0546078
91000	5.8323310	4.3319002	4.1305478	0.0473652
92000	5.8612219	4.2436619	4.1229629	0.0658060
93000	5.7960017	5.7033183	4.2567632	0.0334700
94000	5.8243856	5.3506466	4.4536190	0.0637120
95000	5.8656425	5.8541833	4.2947031	0.0134994
96000	5.8507722	4.2778691	4.2078267	0.0470765
97000	5.8368067	5.2543086	4.3469540	0.1261072
98000	5.8602942	4.9974161	4.4079279	0.0512633
99000	5.7651361	4.8528841	4.4933143	0.0100645
100000	5.8765817	5.5442937	4.4016442	0.1106398
101000	5.8546300	5.5006885	4.4574703	0.0774877
102000	5.8538566	5.0581394	4.1375901	0.0020589
103000	5.8030372	5.1805938	4.5215637	0.0205388
104000	5.8710106	5.4181337	4.2958396	0.0272345
105000	5.7773787	5.2896980	4.1921587	0.0354885
106000	5.8852735	5.6629844	4.0928096	0.0666114
107000	5.8445889	5.1118995	4.3907616	0.0793495
108000	5.8120522	5.1905563	4.4196319	0.0223275
109000	6.0269209	4.4010011	4.1216847	0.0275618
110000	5.7606057	4.8606503	4.2365312	0.0422778
111000	5.7831960	5.7314299	4.4010354	0.0668073
112000	5.8010832	4.4729872	4.1219654	0.0422398
113000	5.9255027	5.5815308	4.1215241	0.0265436
114000	5.8486988	5.7608662	4.3625817	0.0726350
115000	5.9183999	5.5126290	4.3392002	0.2163884
