Gen	t_n5	t_n6	t_n7	mu	sigma2	lnL
1	5.9116132	5.8683199	4.1206422	0.0218352	1.4254833	-1.588
1000	5.8404312	5.5242210	4.2427176	0.0447000	1.1377311	-1.615
2000	5.7342468	5.6953803	4.4143696	0.0114954	1.1795344	-0.387
3000	5.8537124	5.5716372	4.2256771	0.0127830	1.0627471	-6.783
4000	5.8560952	5.6984256	4.2276771	0.0411594	1.0884022	-3.037
5000	5.8713264	5.8077820	4.1602276	0.0386119	1.4896808	-0.744
6000	5.7894482	5.5776321	4.1600268	0.0139609	1.2970791	-2.180
7000	5.8645295	5.2204980	4.3575188	0.0449566	1.2077586	-3.737
8000	5.8779643	5.7579940	4.4355526	0.0206790	1.1074020	-3.454
9000	5.9274387	5.8578705	4.3596625	0.0169876	0.7237981	-5.733
10000	5.7962185	5.6566360	4.2768693	0.0248247	1.0349516	-3.438
11000	5.9336479	5.8799177	4.1593390	0.0334475	1.0840044	-3.879
12000	5.8905793	5.5447426	4.3092330	0.0132646	0.7537791	-5.062
13000	5.8720077	5.5782804	4.2540539	0.0166393	1.7942834	-2.578
14000	5.8234970	5.5524543	4.3289172	0.0113561	0.7281377	-13.425
15000	5.7656712	5.7208782	4.4089740	0.0182565	1.1145503	-1.954
16000	5.7626951	5.7014967	4.3604893	0.0151275	1.1168362	-3.591
17000	5.7512196	5.5063966	4.2946459	0.0209587	0.9210278	-4.994
18000	5.8978147	5.6740184	4.1867150	0.0420839	1.3464776	-4.090
19000	5.8461887	5.6591587	4.2252103	0.0283552	0.9132628	-2.772
20000	5.8148546	5.8021319	4.1802104	0.0094262	1.1888346	-0.466
21000	5.8490146	5.7399027	4.1433636	0.0315155	1.1402773	-2.016
22000	5.8574701	5.7360667	4.1821008	0.0164822	0.8896467	-2.387
23000	5.7499286	5.7114121	4.3158070	0.0198570	1.0135271	-2.639
24000	5.8351372	5.4038819	4.2605102	0.0086305	1.0041501	-4.157
25000	5.8030115	5.4913212	4.3857682	0.0133690	1.0504220	-3.165
26000	5.8740800	5.7113934	4.2397128	0.0311242	1.6543928	-4.395
27000	5.7599178	5.1611664	4.3362839	0.0209093	1.5566891	-4.034
28000	5.7373068	5.4307480	4.2838251	0.0178798	1.1903801	-4.696
29000	5.8260961	5.7956114	4.1511839	0.0166282	1.0652083	-2.266
30000	5.9161214	5.5994124	4.3545832	0.0138661	1.0541243	-4.880
31000	5.8403052	5.7151513	4.2591573	0.0156987	1.4813408	-1.641
32000	5.9356074	5.6971285	4.2938529	0.0282819	0.8836827	-5.660
33000	5.8272789	5.8230753	4.1883043	0.0312084	1.0367231	-5.376
34000	5.8649861	5.7028338	4.4512675	0.0160501	0.7975771	-1.769
35000	5.8831485	5.8798913	4.3182266	0.0537229	0.7102086	-8.798
36000	5.7592662	5.2121455	4.1814092	0.0200726	1.5490640	-2.870
37000	5.8026453	5.7085081	4.2337396	0.0137598	0.9389199	-3.438
38000	5.9074057	5.8357908	4.4130668	0.0316793	0.8604110	-6.302
39000	5.7618681	5.0751748	4.1273950	0.0125036	1.2774578	-3.782
40000	5.9036786	5.4641672	4.1822076	0.0236019	1.4083928	-1.154
41000	5.8569213	5.6235875	4.4432954	0.0141538	1.1763100	-5.050
42000	5.8149817	5.7499356	4.5221745	0.0183612	0.6817589	-1.759
43000	5.8773083	5.7739118	4.2444450	0.0188830	1.0480581	-5.221
44000	5.9857685	5.5976144	4.3902144	0.0260907	1.2212162	-1.121
45000	5.8579774	5.5413661	4.2080945	0.0184154	1.0800616	-1.865
46000	5.8778525	5.5603712	4.5023839	0.0162954	1.0852959	-7.813
47000	5.7788091	5.7342989	4.1862549	0.0373614	1.1030447	-1.573
48000	5.8549378	5.7953292	4.3975361	0.0095781	1.1592871	-3.444
49000	5.7984142	5.7560666	4.1474947	0.0158068	1.1430746	-5.423
50000	5.8698330	5.6817831	4.1166386	0.0398386	1.4878833	-4.120
51000	5.8664702	5.5426110	4.2222427	0.0242346	1.0624838	-3.275
52000	5.7854806	5.6816911	4.1316535	0.0333792	1.3908574	-4.699
53000	5.8720440	5.5405706	4.2873958	0.0253626	1.0018702	-5.585
54000	5.8819014	5.6872194	4.1975374	0.0135645	1.2291839	-4.868
55000	5.7937453	5.6913864	4.1306767	0.0252633	0.8358643	-4.775
56000	5.8933354	5.7996034	4.1807812	0.0147558	0.9932731	-3.793
57000	5.7736904	5.2973792	4.3791182	0.0181117	1.2111660	-1.156
58000	5.7771495	5.5369990	4.3926192	0.0140682	1.3268901	-2.039
59000	5.6943770	5.6521360	4.4052960	0.0180638	1.1086506	-4.270
60000	5.7033998	5.4292484	4.1602838	0.0256734	0.8836500	-5.550
61000	5.8818543	5.5894939	4.1292526	0.0091425	1.2911986	-4.115
62000	5.8030359	5.6705856	4.1514378	0.0381704	1.1453100	-2.274
63000	5.8218294	5.8204855	4.3822434	0.0262296	1.0166279	-3.790
64000	5.7414302	5.5602784	4.2895351	0.0223087	0.9955891	-2.340
65000	5.7085969	5.6157122	4.4470322	0.0158452	1.2209637	-4.465
66000	5.9503431	5.8874105	4.2780253	0.0294549	0.9611550	-3.551
67000	5.7934634	5.4377438	4.2120563	0.0460496	1.7393355	-3.810
68000	5.7462918	5.5891444	4.3299797	0.0196369	1.0601459	-1.518
69000	5.8067832	5.7794052	4.2729887	0.0171530	0.8086068	-5.942
70000	5.6419734	5.5448816	4.3635415	0.0243708	1.0614458	-0.859
71000	5.8375434	5.4709920	4.1579426	0.0176771	1.0945827	-1.403
72000	5.7784918	5.5953893	4.4344835	0.0310620	1.3152572	-2.183
73000	5.9576186	5.9389922	4.1619956	0.0183292	0.8310741	-7.395
74000	5.9248015	5.8502876	4.4817549	0.0175431	0.9225836	-4.500
75000	5.8406258	5.6654179	4.1535851	0.0189342	1.0192913	-2.785
76000	5.8503751	5.6550271	4.1495235	0.0135635	0.9331835	-2.159
77000	5.8117038	5.7913718	4.2796588	0.0380210	1.5758236	-3.953
78000	5.7637287	5.7083640	4.4563668	0.0205942	0.9899918	-1.769
79000	5.8492787	5.8465835	4.3121344	0.0250730	0.9211078	-2.041
80000	5.8804238	5.8110638	4.1706043	0.0338895	0.8566542	-3.574
81000	5.8941103	5.6145549	4.2639067	0.0163325	0.7722639	-6.456
