Gen	t_n5	t_n6	t_n7	mu	sigma2	lnL
1	5.7248205	5.4384963	4.3950411	0.0209370	1.3393219	-3.511
1000	5.8102299	5.6305435	4.3954561	0.0294171	0.9580929	-7.884
2000	5.8762123	5.6593530	4.2468209	0.0121901	0.8388726	-3.868
3000	5.9565196	5.9080183	4.5145164	0.0155275	1.2961256	-4.962
4000	5.8289329	5.2907936	4.2260010	0.0129017	1.0406271	-3.526
5000	5.7819814	5.7360750	4.2499149	0.0143302	0.9680712	-5.756
6000	5.8646778	5.7467084	4.4400692	0.0252856	1.7242625	-0.232
7000	5.7959260	4.8705914	4.1377896	0.0246117	1.1657132	-4.417
8000	5.8958786	5.8675015	4.3839621	0.0153753	1.4295742	-0.635
9000	5.9780675	5.8314185	4.0922142	0.0762634	1.2286472	-8.913
10000	5.9931939	5.3901273	4.4866033	0.0175529	1.3970648	-2.879
11000	5.9339176	5.8941638	4.3094562	0.0304870	1.5648779	-0.363
12000	5.8270240	5.8252295	4.3191192	0.0258839	1.0805059	-2.717
13000	5.8461408	5.7567412	4.2824630	0.0294076	1.3146560	-1.953
14000	5.7856543	5.7754217	4.1425236	0.0136498	0.8166691	-4.783
15000	5.8308878	5.5260640	4.3271478	0.0446407	1.3882895	-2.370
16000	5.8126162	5.7449148	4.2788863	0.0627339	1.3124108	-2.504
17000	5.8170219	5.5086393	4.2205865	0.0156762	1.4737246	-3.189
18000	5.8452753	5.4555061	4.1865191	0.0094413	1.0591022	-1.585
19000	5.8800280	5.7308312	4.4695516	0.0194294	1.1563197	-1.787
20000	5.8634064	5.7841647	4.3916862	0.0161843	1.2988237	-1.652
21000	5.8438923	5.7665291	4.2968756	0.0299742	1.1212264	-2.757
22000	5.8854200	5.7497064	4.1001262	0.0184165	1.3613106	-1.738
23000	5.9149586	5.6963070	4.4192957	0.0235850	1.3605884	-1.508
24000	5.8153809	5.5165034	4.1178197	0.0098822	1.1658849	-0.080
25000	5.6859038	5.4264503	4.4173071	0.0263993	1.5791339	-2.594
26000	5.8279701	5.7172497	4.2931544	0.0330408	1.2712325	-6.550
27000	5.8473286	5.8439209	4.2273489	0.0252247	1.2266825	-5.426
28000	5.8721627	5.8535737	4.3960278	0.0091024	0.7866502	-6.073
29000	5.8187386	5.7740757	4.1368077	0.0291827	1.0124003	-1.117
30000	5.8687505	5.6351464	4.3764979	0.0089386	1.1276596	-5.091
31000	5.8775407	5.6724093	4.4715213	0.0264404	1.3857312	-3.893
32000	5.7781259	5.3638177	4.3441642	0.0114702	1.0500227	-2.946
