Gen	t_n5	t_n6	t_n7	mu
1	5.8529938	4.5005505	4.1407681	0.1181501
1000	5.8805640	5.4168794	4.2850455	0.0659269
2000	5.8167128	4.5531874	4.1955466	0.0395659
3000	5.8331603	5.1658610	4.4909702	0.0125845
4000	5.9253023	5.1522016	4.3280938	0.1006199
5000	5.8160568	5.2869853	4.4574168	0.1250563
6000	5.8685881	4.4588162	4.3285717	0.0385245
7000	5.8120156	4.5709781	4.3065691	0.0285078
8000	5.9013103	4.1691821	4.1231524	0.0747081
9000	5.7954569	5.4204685	4.3149766	0.0676638
10000	5.8417031	4.8762980	4.3369157	0.1067828
11000	5.9208269	4.5892019	4.3205914	0.0328418
12000	5.7993736	4.7818966	4.4859080	0.0157284
13000	5.8612463	4.4527791	4.2256944	0.0296565
14000	5.9308419	4.5640307	4.3736132	0.0020905
15000	5.7883644	5.6224828	4.5242196	0.0207870
16000	5.8642677	5.2142163	4.1630576	0.0663336
17000	6.0466050	4.9327596	4.1399142	0.0900321
18000	5.8266595	5.7999475	4.3370488	0.0618874
19000	5.7889384	5.2935282	4.5592406	0.0367672
20000	5.8002914	5.0523268	4.4612242	0.0353234
21000	5.8442083	5.6679775	4.2922392	0.1193457
22000	5.8694483	5.3034233	4.3118498	0.0470787
23000	5.8766322	4.5180758	4.3474576	0.0679294
24000	5.7514335	4.8740297	4.2195697	0.0144986
25000	5.8008009	5.4114162	4.4534479	0.0629319
26000	5.8850862	5.8486731	4.2819656	0.0430313
27000	5.8460614	4.5102568	4.4689388	0.0485740
28000	5.8408694	5.1919322	4.4522615	0.0471778
29000	5.7740266	4.9615640	4.2084531	0.1047718
30000	5.7806611	5.4031544	4.1645249	0.0118710
31000	6.0505027	4.5416301	4.4777693	0.0171676
32000	5.8530208	5.1430911	4.2600969	0.0584946
33000	5.8219749	5.0658568	4.4214897	0.0937108
34000	5.7927919	4.2981430	4.2872850	0.0073017
35000	5.8441316	5.4842524	4.5108000	0.0720870
36000	5.9514795	4.6178218	4.3946829	0.0412409
37000	5.7592267	4.2462893	4.1336070	0.1550294
38000	5.8138003	5.6355919	4.3218729	0.0254721
39000	5.8259796	5.5661837	4.4959409	0.0465322
40000	5.8252824	5.4498977	4.5550773	0.0454994
41000	5.8809144	4.9131292	4.3030201	0.0268017
42000	5.9724154	5.2252908	4.1744686	0.0651351
43000	5.8424384	5.5988027	4.5051430	0.0754220
44000	5.8718904	4.8299962	4.2175155	0.0611313
45000	5.8633905	5.3577750	4.4848746	0.0831159
46000	5.8200253	4.1950109	4.1575438	0.0893218
47000	5.7306919	5.4676364	4.4772538	0.0173155
48000	5.8436511	4.5054931	4.2927263	0.0402732
49000	5.7143017	5.1233526	4.3730978	0.0366209
50000	5.8971460	5.6520205	4.2226647	0.0206038
51000	5.8774436	5.5500281	4.4565816	0.0566065
52000	5.8938948	5.2938488	4.1890787	0.0711226
53000	5.8271405	4.4979203	4.4120275	0.0625211
54000	5.8801880	5.8442909	4.2346469	0.0827415
55000	5.8958797	5.1991414	4.2556418	0.0283262
56000	5.9087823	5.5933622	4.2880903	0.0679713
57000	5.8660761	5.2819703	4.1278740	0.0410035
58000	5.8600673	5.5113516	4.2269297	0.1068690
59000	5.9072005	4.4457114	4.1718117	0.1217137
60000	5.7578239	4.5601179	4.3592802	0.0144192
61000	5.8609742	5.2429842	4.4702904	0.0840856
62000	5.9412622	5.5992383	4.3607373	0.0574947
63000	5.8736748	4.9931332	4.2094833	0.0508537
64000	5.8354353	5.8033402	4.1069631	0.0129180
65000	5.8367314	5.7040475	4.4920220	0.0323391
66000	5.9213958	4.9881885	4.4895287	0.0449760
67000	5.8120280	4.7704516	4.4057520	0.1420828
68000	5.8512701	5.5987034	4.1999076	0.0900120
69000	5.8620906	5.3006354	4.4096063	0.0186476
70000	5.8177010	4.5800179	4.4809477	0.0776216
71000	5.8596692	5.4858514	4.4652425	0.1434965
72000	5.8339849	4.8693767	4.3912771	0.0283654
73000	5.8542529	4.6414283	4.4614370	0.0154126
74000	5.8349021	5.0385160	4.4724371	0.0276770
75000	5.8760494	5.8303608	4.2055620	0.0608670
76000	5.8756493	4.8923045	4.1751653	0.0663457
77000	5.8322926	4.7528523	4.3989635	0.0886447
78000	5.8509268	5.4401655	4.5216317	0.0719275
79000	5.9470806	4.8968374	4.3501314	0.1130257
80000	5.8126682	4.4215200	4.3990803	0.0290028
81000	5.9160410	5.0254526	4.2758722	0.0751610
82000	5.8184251	4.2788741	4.2018685	0.0452067
83000	5.8533491	4.9816241	4.5017538	0.0352374
84000	5.8924998	5.6989829	4.4205730	0.0990746
85000	5.8084642	4.6509947	4.3544359	0.0200043
86000	5.9165396	4.9750230	4.3113046	0.0390973
87000	5.8332177	4.9188526	4.1468947	0.0534558
88000	5.8642371	5.2799255	4.2629059	0.0949424
89000	5.8015578	5.5196306	4.3884961	0.1810646
90000	5.8538993	4.2935817	4.1033664	0.0481124
91000	5.8201993	4.5680778	4.1239373	0.0542076
92000	5.9410802	4.5113438	4.2450851	0.0238524
93000	5.8690476	4.4968328	4.1741804	0.1218603
94000	5.8880002	4.6101129	4.5106177	0.0304023
95000	5.8809852	5.4775330	4.2242777	0.0136848
96000	5.7959351	4.9650499	4.3485986	0.0687650
97000	5.7840685	5.1281814	4.1992608	0.0981186
98000	5.9068550	5.7393402	4.5176142	0.0702883
99000	5.8388533	4.6313513	4.4665795	0.0309544
100000	5.8723116	5.8624599	4.5244320	0.0794489
101000	5.9310769	5.2625530	4.2213704	0.0221524
102000	5.7952386	4.6533752	4.2402661	0.0500454
103000	5.8757517	5.6162138	4.1234620	0.0513088
104000	5.8550812	5.2815269	4.2737535	0.0712868
105000	5.8112763	5.3202453	4.3252874	0.1630667
106000	5.9007448	5.1958277	4.4832524	0.0068322
107000	5.8406376	4.4283331	4.1467283	0.1144205
108000	5.8575686	4.8884159	4.5388767	0.0726082
109000	5.8256677	5.6241623	4.2239279	0.0819797
110000	5.8755025	5.0168439	4.2142921	0.0259305
111000	5.9103315	5.5948214	4.2288094	0.1001949
112000	5.8678947	5.8354993	4.4021917	0.0642270
113000	5.7612838	4.9953959	4.1249627	0.0457653
114000	5.8098408	4.5201968	4.1960582	0.0539079
115000	5.8300771	5.4494502	4.4729755	0.0971797
116000	5.8329820	5.4226935	4.4490218	0.0100558
117000	5.8216582	4.3985631	4.2242733	0.0073475
