Gen	t_n5	t_n6	t_n7	mu	sigma2	lnL
1	5.8171906	5.7936493	4.3993204	0.0409693	0.9539380	-4.380
1000	5.8197224	5.8093535	4.3433883	0.0273423	0.8471963	-2.245
2000	5.8302225	5.6936681	4.1135114	0.0713526	0.7023702	-5.475
3000	5.8741831	5.6005322	4.3175217	0.0106361	1.0195856	-1.621
4000	5.8912520	5.8893628	4.4890193	0.0640190	1.2757291	-4.164
5000	5.8311424	5.7918948	4.2412514	0.0371350	0.6321392	-5.107
6000	5.9018146	5.8332668	4.3099728	0.0663630	0.5824764	-1.759
7000	5.7224078	5.6571907	4.0823330	0.0396474	1.3311627	-2.062
8000	5.9048282	5.7157026	4.2046675	0.0192091	0.8800142	-3.075
9000	5.8969691	5.8234839	4.4920541	0.0392873	0.9676966	-2.908
10000	5.8120638	5.7965687	4.3025249	0.0941742	0.7195906	-0.797
11000	5.8672307	5.8313603	4.2011573	0.0257725	1.2638196	-1.774
12000	5.7916429	5.7904291	4.3688382	0.1463893	1.0522633	-2.240
13000	5.7714722	5.7527972	4.1959478	0.0435504	0.5737939	-0.420
14000	5.9054353	5.9018649	4.3545748	0.0715072	0.6660321	-6.809
15000	5.7956192	5.7546950	4.1213303	0.0134861	0.8224934	-0.095
16000	5.9560806	5.9148164	4.1189286	0.0382917	0.9411069	-7.179
17000	5.8819274	5.8234017	4.3394319	0.0642113	1.0241338	-2.682
18000	5.9410171	5.5587920	4.2648940	0.0183893	1.1995039	-4.517
19000	5.9163228	5.8723794	4.1848607	0.0329381	0.7293331	-0.851
20000	5.8397788	5.6620373	4.3617273	0.0651788	1.2662118	-3.513
21000	5.9152984	5.8529097	4.5117558	0.0930906	1.7246499	-2.555
22000	5.9202752	5.9150991	4.4645438	0.0863054	0.9179179	-2.948
23000	5.9725580	5.8584890	4.4823923	0.0474734	1.5585770	-2.302
24000	5.8089156	5.7345672	4.2373175	0.0395887	0.8237881	-2.185
25000	5.9516820	5.8295169	4.2843969	0.0253851	0.7126174	-2.408
26000	5.9447946	5.8140262	4.1897832	0.0371036	1.0434823	-2.697
27000	5.9181290	5.6996140	4.2082889	0.0212559	0.9715967	-2.773
28000	5.8672713	5.8206109	4.2495549	0.0537959	0.7545612	-4.899
29000	5.8317800	5.6446704	4.1579816	0.0243164	0.9173822	-1.828
30000	5.9075368	5.8781015	4.1620860	0.0457937	1.0498151	-1.326
31000	5.8628053	5.7637516	4.5053686	0.0290010	1.6126726	-1.914
32000	5.8633514	5.7682607	4.1850420	0.0363719	1.2117277	-3.027
33000	5.8506897	5.5151748	4.2071261	0.0146066	0.9634063	-3.339
34000	5.8239236	5.6749678	4.0863644	0.0138967	1.2075389	-2.574
35000	5.7354700	5.7166186	4.1967232	0.0265406	0.7419846	-4.517
36000	5.8148473	5.8101279	4.1245835	0.1503940	1.1113193	-5.360
37000	5.8903795	5.8449708	4.2362267	0.0300319	0.8912844	-0.781
38000	5.8041422	5.7801771	4.3307510	0.0474778	0.8963492	-3.039
39000	5.9382795	5.7785931	4.3124796	0.0275868	1.1623900	-6.958
40000	5.7991491	5.7446374	4.1402270	0.0490339	1.0349819	-2.963
41000	5.8347734	5.7653290	4.3475286	0.0718939	1.0187450	-2.434
42000	5.8671574	5.7877019	4.3326217	0.0592134	0.9277001	-1.381
43000	5.9039976	5.7471969	4.1998397	0.0333442	0.8943328	-5.301
44000	5.7666808	5.6412379	4.1913568	0.0211398	0.8799014	-2.443
45000	5.8548571	5.8290530	4.4849388	0.0548855	0.6415886	-2.443
46000	5.7447022	5.6974116	4.2855231	0.0409331	1.2595221	-2.961
47000	5.7849719	5.7579207	4.1801260	0.0562928	0.7832026	-2.798
48000	5.8038115	5.7910216	4.1100974	0.1009940	0.7631907	-4.467
49000	5.8723290	5.8384465	4.4010520	0.0415318	1.3951127	-3.274
