Gen	t_n5	t_n6	t_n7	mu	sigma2	lnL
1	5.7850593	5.7837402	4.4622995	0.0577230	1.3325767	-1.665
1000	5.7868518	5.7151903	4.2427705	0.0502441	0.9064972	-3.662
2000	5.7842529	5.7215814	4.1583430	0.0315326	1.0632734	-1.508
3000	5.8972315	5.6289596	4.1982379	0.0246241	0.7249980	-2.929
4000	5.8620516	5.8470841	4.5165724	0.1005664	0.8968601	-2.279
5000	5.8944528	5.8586888	4.3756975	0.0325835	0.6733135	-3.510
6000	5.8463328	5.8251366	4.2789742	0.0629172	0.8427387	-2.594
7000	5.8838239	5.8506398	4.2861402	0.0565004	0.7339763	-4.677
8000	5.8230545	5.8171208	4.1318545	0.0550095	0.9631175	-1.825
9000	5.8523383	5.7023453	4.1332835	0.0311849	0.9994244	-3.364
10000	5.8701363	5.8383292	4.1628306	0.0475623	1.2474586	-2.357
11000	5.9040036	5.8497429	4.3518043	0.0431296	0.8045500	-2.548
12000	5.8621374	5.8502841	4.1402759	0.0438185	0.8806766	-3.545
13000	5.9236365	5.9014609	4.3197010	0.0672446	0.6026495	-5.425
14000	5.7866921	5.7371691	4.4514739	0.0673292	1.3473064	-3.303
15000	5.7826780	5.7713464	4.3642673	0.0411338	0.7878662	-1.068
16000	5.8785716	5.8167147	4.2283170	0.0151259	1.7140484	-2.860
17000	5.8125825	5.7133214	4.2913766	0.0219299	0.7175205	-1.303
18000	5.8216469	5.7879658	4.1927364	0.0221743	0.8981789	-3.937
19000	5.8955808	5.8864911	4.1919229	0.0822124	0.9027865	-3.752
20000	5.8180436	5.7588144	4.4484305	0.0642886	1.0673115	-2.060
21000	5.8677162	5.6793017	4.5121344	0.0215164	1.0724736	-2.339
22000	5.9461221	5.9058600	4.4217255	0.0723358	0.9342585	-1.852
23000	5.8801650	5.8123256	4.1745450	0.0330114	1.0238472	-5.201
24000	5.8099366	5.7415686	4.1953742	0.0529370	0.8855273	-1.898
25000	5.8593567	5.8389021	4.2951980	0.0693061	0.6784171	-1.895
26000	5.8645310	5.7196165	4.3446418	0.0449044	1.3294336	-2.797
27000	5.8349979	5.8296106	4.4342356	0.0332424	0.7677180	-0.819
28000	5.8835435	5.8733511	4.1631697	0.0552641	0.9554182	-2.591
29000	5.7885749	5.6290295	4.1588394	0.0321923	0.8640670	-2.005
30000	5.8671152	5.8068510	4.3567710	0.0463847	1.1106297	-5.282
31000	5.7710472	5.6660678	4.1724065	0.0313812	1.0035223	-0.743
32000	5.8945794	5.8838412	4.1564234	0.0179141	0.6337727	-3.313
33000	5.7917542	5.7354144	4.5103174	0.0535054	1.3656151	-2.007
34000	5.8160638	5.8101401	4.3920539	0.0900539	0.8438906	-4.112
35000	5.9020700	5.8103266	4.2822181	0.0533905	1.0783250	-3.379
36000	5.7078839	5.6667368	4.3699573	0.0257037	1.2094023	-2.309
37000	5.8632300	5.8585019	4.3416094	0.0446179	0.8493312	-3.123
38000	5.9277751	5.8606182	4.1743433	0.0417919	1.0394920	-6.904
39000	5.8942153	5.8631920	4.2748593	0.0285669	1.1945158	-2.709
40000	5.7700315	5.7541798	4.3948760	0.0547084	1.1589644	-4.060
41000	5.8372522	5.7884209	4.1015907	0.0200965	0.7167456	-5.473
42000	5.9256570	5.9220305	4.4658908	0.0230463	1.1329121	-1.214
