Gen	t_n5	t_n6	t_n7	mu	sigma2	lnL
1	5.7835746	5.7687111	4.3483855	0.0738353	1.1301603	-2.696
1000	5.7760046	5.7148263	4.1645720	0.0101903	1.2515724	-1.529
2000	5.8567739	5.7713891	4.2268048	0.0439455	0.8157936	-1.541
3000	5.8187301	5.7834281	4.1652807	0.0369512	0.7489735	-4.301
4000	5.7717145	5.6885886	4.2828679	0.0955624	0.6948753	-5.980
5000	5.9288128	5.3228229	4.1611366	0.0176810	0.8182940	-7.406
6000	5.7619567	5.7322447	4.1724605	0.0459137	1.0272012	-0.402
7000	5.8261509	5.8238494	4.1426232	0.1191992	0.5995253	-3.195
8000	5.8216591	5.7100961	4.1168134	0.0450514	1.2321214	-5.099
9000	5.9155761	5.8244113	4.1334855	0.0476295	0.8605379	-5.414
10000	5.9515762	5.9095166	4.2026519	0.0384045	0.8528931	-0.792
11000	5.9617161	5.9595558	4.1379345	0.0651401	0.8358561	-1.584
12000	5.8368415	5.7567283	4.1399466	0.0243544	0.7783101	-1.019
13000	5.7307269	5.5157636	4.1773052	0.0281509	0.8778585	-2.724
14000	5.8792535	5.7791620	4.1335884	0.0164127	0.7047913	-5.363
15000	5.8861893	5.8403800	4.4459100	0.0214464	0.7401940	-4.857
16000	5.8984763	5.8881341	4.2037228	0.0867985	1.3595818	-1.813
17000	5.9604177	5.9209478	4.2379382	0.0406499	1.0123686	-1.413
18000	5.7648026	5.7559058	4.1396006	0.0319382	0.8979480	-3.788
19000	5.9168824	5.7112667	4.1422302	0.0374082	0.8590951	-6.173
20000	5.7018429	5.6756093	4.1999619	0.0403767	0.8458702	-1.829
21000	5.8505250	5.7967919	4.2050812	0.0373457	1.2866710	-1.308
22000	5.8293407	5.8031693	4.4278606	0.1336919	0.9950795	-2.875
23000	5.8638211	5.8603472	4.3758178	0.0607860	0.9628227	-0.648
24000	5.9395230	5.8928531	4.3479720	0.0567629	0.9504310	-2.111
25000	5.7665142	5.7283315	4.3390749	0.0472167	1.0150892	-0.351
26000	5.8395634	5.6965855	4.1854599	0.0428585	1.0778347	-3.725
27000	5.8407847	5.7749633	4.1773849	0.0550509	0.8432766	-3.104
28000	5.7258680	5.6148463	4.1898095	0.0222789	1.1581835	-3.144
29000	5.8191720	5.6032766	4.0952484	0.0489775	0.8576978	-2.499
30000	5.8733480	5.8712601	4.2012024	0.0489958	0.9559417	-0.930
31000	5.8186886	5.7942571	4.3382705	0.0288561	1.1500006	-1.869
32000	5.9404170	5.9343134	4.4295407	0.0591148	0.9656939	-4.241
33000	5.9089585	5.8672179	4.2799943	0.0292498	0.8972024	-3.451
34000	5.8463282	5.8170056	4.2632504	0.0774190	0.8957858	-5.024
35000	5.7414343	5.7238438	4.0939897	0.0216530	0.9990569	-7.381
36000	5.8281252	5.8019035	4.2063991	0.0438729	0.8539976	-1.522
37000	5.8883414	5.8370564	4.1239981	0.0242699	0.9527854	-0.790
38000	5.8850729	5.8548987	4.1307603	0.0235618	0.6549082	-0.729
39000	5.8465966	5.7350993	4.1981591	0.0553114	0.8684202	-1.956
40000	6.0136778	6.0000051	4.4177500	0.0952077	0.5189251	-1.377
41000	5.8444414	5.6905647	4.1153901	0.0244792	0.9607060	-1.202
42000	5.8398097	5.8058100	4.2627048	0.0851185	0.8708491	-0.943
43000	5.7721648	5.7503816	4.3793989	0.0438545	1.1811814	-4.443
44000	5.8413034	5.8408246	4.2448806	0.0490414	0.8362693	-4.954
45000	5.8720105	5.8245148	4.4649742	0.1010543	1.2482282	-2.017
46000	5.8726676	5.8319074	4.5283402	0.0610212	0.8594021	-1.027
47000	5.8802742	5.8599053	4.1991322	0.0429280	0.8699712	-2.033
48000	5.9259739	5.8712614	4.1758867	0.0337231	1.1989727	-1.393
49000	5.8197940	5.7959506	4.4589155	0.0735158	0.8662943	-5.032
50000	5.6794501	5.6723948	4.1234468	0.0480787	0.8990698	-3.581
51000	5.8580087	5.8513675	4.4862596	0.1092506	0.9843361	-1.488
52000	5.8347703	5.7971961	4.1344499	0.0458695	0.7783823	-7.790
53000	5.7855522	5.7491626	4.1378687	0.0839428	0.8628106	-3.804
54000	5.8541949	5.7043427	4.5043732	0.0334207	1.1915800	-1.468
55000	5.8335300	5.8034912	4.4717343	0.0428311	0.9034634	-3.399
56000	5.9093247	5.7763314	4.1227104	0.0166032	1.2073170	-0.945
57000	5.7770462	5.7291939	4.1556280	0.0296570	1.2237814	-3.617
58000	5.8417383	5.8396449	4.3174221	0.0884959	0.8673693	-1.154
59000	5.8160648	5.7735234	4.3067871	0.0477275	0.6374771	-3.735
60000	5.8923807	5.7728729	4.2815557	0.0257098	1.1476167	-2.974
61000	5.8513265	5.8297225	4.3520311	0.0920588	0.6610964	-3.683
62000	5.8568993	5.8366052	4.5225413	0.0187415	1.1875790	-6.182
63000	5.8420656	5.8266015	4.4953187	0.0466208	0.7430614	-2.858
64000	5.7179339	5.7060318	4.1848869	0.0579462	0.9320261	-1.061
65000	5.7946160	5.7922082	4.4683702	0.0903066	0.8840716	-5.685
66000	5.7871683	5.7636290	4.3146947	0.0826376	1.3487994	-7.059
67000	5.9152728	5.7207885	4.4094477	0.0211413	0.8144185	-3.028
68000	5.8270454	5.7498753	4.1260212	0.0447576	0.7116182	-4.203
69000	5.7911163	5.7083896	4.3189684	0.0388188	1.0281669	-3.617
70000	5.9413674	5.9333965	4.4750764	0.0260339	0.5884866	-3.013
71000	5.8865643	5.8691734	4.1258799	0.0325963	0.7547588	-2.113
