Gen	t_n5	t_n6	t_n7	mu	sigma2	lnL
1	5.7317631	5.7266154	4.2450968	0.0435353	1.2383911	-1.088
1000	5.8333285	5.8158461	4.5073049	0.0473164	0.9926607	-2.076
2000	5.8674345	5.7125138	4.1703756	0.0354580	1.4179586	-2.225
3000	5.9110517	5.9015748	4.1739246	0.0283088	1.1840378	-0.856
4000	5.7997908	5.7194731	4.3162605	0.0490016	0.8481203	-4.141
5000	5.8776869	5.7443937	4.1397026	0.0806370	0.8558636	-8.689
6000	5.8206326	5.6533575	4.1583376	0.0225361	1.1773160	-2.067
7000	5.8587004	5.8315702	4.3941826	0.0400042	0.9576124	-1.110
8000	5.8972807	5.8474114	4.1015986	0.0348413	0.9404853	-2.098
9000	5.8060057	5.7759593	4.3586352	0.0320546	0.8481166	-1.382
10000	5.8374921	5.7490248	4.1875580	0.0438833	0.9723848	-6.995
11000	5.8335237	5.7305884	4.1284925	0.0546850	0.8037497	-5.022
12000	5.8612271	5.8211834	4.4071594	0.1954665	1.0693565	-5.824
13000	5.7959872	5.7680751	4.2975851	0.0577606	1.1347675	-7.516
14000	5.9451786	5.9222787	4.2405788	0.0366638	0.8372768	-2.320
15000	5.9334038	5.8575754	4.4374205	0.0703488	1.1932389	-1.428
16000	5.8351039	5.8150685	4.4848700	0.0149293	0.9382073	-0.998
17000	5.7889890	5.7818777	4.1884542	0.1078635	1.0141880	-1.998
18000	5.8472962	5.7611677	4.3465547	0.0683088	1.2746739	-2.290
19000	5.7711958	5.7655161	4.5339094	0.1390530	0.8540815	-5.464
20000	5.7714658	5.7386208	4.2323020	0.0713307	0.9463906	-2.096
21000	5.7150736	5.6850533	4.1291053	0.0826070	0.9278363	-1.972
22000	5.8322633	5.8212766	4.2742060	0.1126655	0.7860404	-5.558
23000	5.8306942	5.8013256	4.1128787	0.0281762	0.7535657	-1.650
24000	5.9156505	5.8159986	4.1848308	0.0483747	0.8448324	-1.921
25000	5.9032198	5.8493505	4.1812856	0.0673480	0.7448238	-1.478
26000	5.8994934	5.8164713	4.1758335	0.0129981	0.7138173	-1.742
27000	5.8533294	5.7877307	4.3977520	0.0454473	0.6919302	-10.814
28000	5.7892574	5.7762322	4.1961563	0.0473614	0.7577762	-1.653
29000	5.8441687	5.7975782	4.2644107	0.0899551	0.6924091	-4.674
30000	5.8463843	5.7680746	4.4633336	0.0209108	1.0251139	-2.350
31000	5.8579664	5.8427005	4.1218583	0.0298949	1.1338174	-2.495
32000	5.7610867	5.7551152	4.3069958	0.0435535	0.8159097	-2.534
33000	5.9097102	5.8240658	4.2694960	0.0327062	1.0623625	-2.195
34000	5.8234757	5.6880241	4.1723061	0.0069816	0.9008019	-5.300
35000	5.8543195	5.8496357	4.4280035	0.0788686	0.7810789	-3.392
36000	5.9333647	5.8298707	4.1998440	0.0418583	0.6151139	-8.131
37000	5.8707230	5.8683445	4.2510858	0.0486494	1.6020172	-0.374
38000	5.8580912	5.7302736	4.2793855	0.1008146	1.2309074	-9.460
39000	5.8806408	5.8763670	4.2931866	0.1403688	0.9852069	-1.176
40000	5.8552999	5.6713502	4.1545563	0.0196569	0.6150073	-3.399
