Gen	t_n5	t_n6	t_n7	mu	sigma2	lnL
83000	5.8509488	5.8485687	4.3806144	0.0371989	1.0382358	-3.781
84000	5.8365899	5.4311438	4.1355886	0.0246938	0.8709610	-1.569
85000	5.7996615	5.7142666	4.1222963	0.1161961	1.2122973	-3.569
86000	5.9057380	5.8656984	4.1988873	0.0170417	0.6783929	-2.756
87000	5.7712654	5.7596243	4.1944769	0.0489116	0.7000333	-2.069
88000	5.8071622	5.7984622	4.2584136	0.0921279	0.4991543	-8.491
89000	5.8777871	5.8751253	4.3195279	0.0768839	1.2661163	-1.513
90000	5.7671394	5.7279434	4.3466580	0.0495606	1.4109212	-1.011
91000	5.8467770	5.8156603	4.3890106	0.0308301	0.9403533	-1.406
92000	5.8106842	5.7666682	4.2101570	0.0394665	0.7794292	-2.542
93000	5.9823047	5.9635723	4.3023635	0.0919861	0.6790192	-1.823
94000	5.8152142	5.8077788	4.3476162	0.0353055	0.8380128	-1.421
95000	5.8034981	5.7493745	4.2464115	0.0154982	1.1213803	-1.252
96000	5.8193613	5.7458565	4.4749155	0.0550097	0.9763640	-2.244
97000	5.8835050	5.8532517	4.4402672	0.0651780	0.7191700	-4.808
98000	5.8172858	5.6936870	4.4749668	0.0250784	1.0116227	-3.888
99000	5.8769969	5.8361365	4.2186828	0.0580520	0.7808149	-1.857
100000	5.8232741	5.7846478	4.3042450	0.0556506	1.5001721	-1.214
101000	5.8707248	5.8647989	4.2653548	0.0688705	0.6501352	-3.427
102000	5.9142318	5.8254358	4.2342435	0.0298767	0.9138846	-0.810
103000	5.8949509	5.7836300	4.4072321	0.0293626	1.1322343	-2.230
104000	5.8019111	5.7973771	4.1960572	0.0535871	1.2429664	-2.183
105000	5.9611136	5.9304582	4.1322952	0.0710326	0.8760624	-1.413
106000	5.7389344	5.7187624	4.2815378	0.0832132	0.8682390	-1.397
107000	5.8245479	5.8087980	4.3362993	0.0583831	1.9395978	-2.950
108000	5.8616026	5.8555786	4.3633642	0.0399680	1.1269590	-2.205
109000	5.8815696	5.8563814	4.2007211	0.0762346	1.2641311	-2.668
110000	5.8443942	5.8188938	4.3158113	0.0327580	1.1843812	-0.670
111000	5.9166328	5.9040544	4.1594450	0.0350784	0.8218093	-1.345
112000	5.8098951	5.7847671	4.1902656	0.1322925	1.1031395	-2.841
113000	5.8699683	5.8580223	4.5241424	0.0685759	0.8510571	-0.967
114000	5.8049855	5.7733061	4.3738257	0.0948137	0.9298231	-1.578
115000	5.7562403	5.7140785	4.4062319	0.0587147	0.6163913	-5.769
116000	5.8997223	5.8027995	4.1628082	0.0196579	0.5403448	-3.509
117000	5.9324887	5.8777907	4.2176321	0.0539600	1.4354026	-1.868
118000	5.8294338	5.8061828	4.2402074	0.0348386	0.9095084	-3.136
119000	5.9000531	5.8675460	4.5378467	0.0703476	0.5411834	-2.249
120000	5.8417544	5.8089125	4.3770985	0.0406582	1.1772897	-2.434
121000	5.8038047	5.6455261	4.1453316	0.0337918	1.1077136	-1.461
122000	5.8188195	5.7674921	4.1379750	0.0208447	1.0147236	-2.008
123000	5.8550252	5.8363558	4.2472709	0.0373032	1.0600678	-0.334
124000	5.8563122	5.8250982	4.3916285	0.0428141	0.8329647	-1.885
125000	5.9249385	5.9014183	4.1588894	0.0153879	1.2307255	-0.301
126000	5.8261740	5.7847882	4.2259396	0.0313200	1.1567148	-3.669
127000	5.9789678	5.9461474	4.3218307	0.0467369	0.6582423	-3.262
128000	5.8118622	5.6942097	4.4665185	0.0404412	0.9018803	-4.642
129000	5.8256106	5.8082817	4.4055423	0.0365509	0.7855995	-6.618
130000	5.9172427	5.7448407	4.1446951	0.0304270	0.9428373	-6.477
131000	5.8451247	5.8371139	4.1266405	0.1127188	1.1154079	-0.834
132000	5.8649083	5.8604977	4.3271323	0.0436067	0.9507514	-1.544
133000	5.8852791	5.8715268	4.4628081	0.0715459	0.8068157	-1.966
134000	5.7083373	5.6782070	4.1658914	0.0479523	0.9700575	-2.326
135000	5.8423695	5.5659377	4.4634061	0.0328603	0.9152162	-3.678
136000	5.8446750	5.7565219	4.1754973	0.0510532	1.3504291	-1.243
137000	5.9302670	5.6129551	4.2069649	0.0236591	0.9688536	-3.739
138000	5.8673202	5.7835277	4.1349630	0.0462749	0.8565912	-2.211
139000	5.8508261	5.7605053	4.1922217	0.0558123	0.5999746	-3.538
140000	5.8196503	5.7442585	4.2654068	0.0618718	0.9278688	-1.859
141000	5.9546592	5.9465500	4.3742616	0.0553485	0.8084928	-3.079
142000	5.8696310	5.7829008	4.2653801	0.0543881	1.1467627	-3.481
143000	5.8912277	5.8366025	4.3026278	0.0594707	0.8933022	-0.808
144000	5.8244951	5.8104156	4.1523622	0.0163850	0.5940834	-3.044
145000	5.8140367	5.6172833	4.1510079	0.0141003	1.0698641	-0.890
146000	5.8864656	5.8652474	4.1227823	0.0382566	0.9600790	-2.295
147000	5.8882428	5.8628859	4.1928308	0.0866137	1.0376333	-2.164
148000	5.8601456	5.8570609	4.2016040	0.1441415	1.1265427	-2.283
149000	5.7972786	5.7928828	4.5142571	0.0797586	1.0123288	-4.338
150000	5.8627321	5.7964762	4.3616855	0.0496879	0.6256261	-3.816
151000	5.8328774	5.7902666	4.2518690	0.0766357	0.8346447	-9.064
152000	5.7282724	5.6803533	4.2779934	0.0366068	0.9854282	-2.239
153000	5.8873967	5.8218380	4.1586807	0.0368084	0.8512289	-3.859
154000	5.7843255	5.6411798	4.4149162	0.0618372	0.8424689	-1.713
155000	5.8547426	5.8232514	4.4981268	0.0401543	0.9080177	-1.294
156000	5.8910590	5.8762171	4.2025466	0.0629782	0.7518432	-3.219
157000	5.8854231	5.8631859	4.3015842	0.0414606	1.3039392	-1.608
158000	5.7550019	5.7312351	4.1579059	0.0910501	1.2930632	-6.187
159000	5.7968706	5.7963650	4.1726486	0.0781982	1.1690313	-2.001
160000	5.8340225	5.7144720	4.3250549	0.0467717	1.2017343	-0.952
161000	5.7655974	5.7322808	4.1289156	0.0241375	0.8326562	-3.733
162000	5.7118023	5.6789777	4.1700868	0.0665766	1.1566212	-1.863
163000	5.8130093	5.7362683	4.2285693	0.0189574	0.8002539	-1.313
164000	5.7733995	5.7613565	4.2204113	0.0827482	1.0645840	-0.915
165000	5.8380733	5.8187139	4.2016624	0.0614755	0.7194761	-3.587
166000	5.8763147	5.6872685	4.1891720	0.0407839	0.8462207	-8.946
167000	5.8544121	5.8108910	4.3533473	0.0661045	1.0944987	-1.598
168000	5.8845960	5.8165557	4.4982028	0.0373938	0.9200473	-4.684
169000	5.7998606	5.7878850	4.4273971	0.0687578	0.8505752	-1.868
170000	5.8374033	5.8185620	4.4440284	0.0255806	0.8144690	-7.625
171000	5.8012089	5.7413178	4.4328448	0.0455796	1.3273931	-0.900
172000	5.7972560	5.7672916	4.1026042	0.0620945	1.0952642	-1.561
173000	5.7978522	5.6322467	4.3574636	0.0254294	1.2769492	-0.080
174000	5.8330370	5.7849499	4.1204443	0.0522166	0.7656191	-4.633
175000	5.8877886	5.8810577	4.1287352	0.0378193	0.9444063	-1.285
176000	5.8381467	5.7878068	4.1155387	0.0529419	0.6352482	-1.494
177000	5.8316629	5.8303598	4.2891603	0.0250568	0.8077717	-2.235
178000	5.7603014	5.7211200	4.2698051	0.0315502	0.8227594	-6.195
179000	5.9329315	5.8951839	4.5102460	0.0659413	0.9954450	-2.352
180000	5.8561772	5.7524742	4.4744285	0.0380240	1.1150513	-1.269
181000	5.9431160	5.9036055	4.4144003	0.0808936	1.4886162	-1.116
182000	5.8378657	5.7404865	4.1783696	0.0133046	1.0066888	-1.853
183000	5.8358733	5.7888114	4.3449985	0.0496090	0.8254145	-2.805
184000	5.9276418	5.9243585	4.3967112	0.0586454	0.9019319	-1.655
185000	5.8151709	5.7952193	4.2488998	0.0414547	0.8928405	-1.304
186000	5.8630892	5.8034046	4.1252280	0.0325068	1.2001707	-2.067
187000	5.8840375	5.8718352	4.1326406	0.0463744	0.6807158	-8.733
188000	5.8142949	5.8129808	4.1417400	0.0914620	0.9245871	-5.690
189000	5.8111878	5.8036396	4.3846759	0.0474834	1.2048201	-1.047
190000	5.8768153	5.8345250	4.3655253	0.0357384	0.8843692	-5.747
191000	5.8684661	5.8254764	4.2121003	0.0629858	0.7687470	-4.388
192000	5.7814664	5.7696652	4.2632453	0.1441778	1.4610749	-3.623
193000	5.8801313	5.7881289	4.1816441	0.0563175	0.5336736	-4.017
194000	5.8235430	5.7928266	4.5015942	0.0997974	0.9041882	-4.114
195000	5.8621766	5.8273505	4.1829081	0.0610205	0.7744469	-4.468
196000	5.7872780	5.5899167	4.4670051	0.0527345	1.1253511	-6.694
197000	5.8501403	5.7425708	4.2349925	0.0501976	1.4582180	-1.609
198000	5.8976414	5.7834013	4.2017357	0.0395515	0.7836482	-1.106
199000	5.8436974	5.7974169	4.5276617	0.0684069	0.9026910	-2.012
200000	5.7369591	5.7230203	4.2600995	0.1221577	1.1527325	-1.822
201000	5.8104817	5.7029843	4.3972101	0.0277502	0.7922086	-3.420
202000	5.9044927	5.6776770	4.4574362	0.0459363	0.7940225	-6.606
203000	5.9310198	5.7985458	4.1549889	0.0249835	0.9738754	-0.874
204000	5.7103218	5.7070167	4.2304968	0.0730884	1.0547327	-3.769
205000	5.7189201	5.6435099	4.1300587	0.0392579	1.0241941	-5.482
